Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,Purchasing Link
20,"Resistor, 10K, 5W, 1%, Axial",R_10K_HV,R3 R4,R_10k,R_0805_OEM,2,http://www.bourns.com/data/global/pdfs/CRS.pdf,Value,CRS0805-FX-1002ELFCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND,
21,"Resistor, 120, 0.125W, 1%, 0805",R_120,R7,R_120,R_0805_OEM,1,https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf,,667-ERJ-6ENF1200V,DK,https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d,
22,"Resistor, 1K, 0.25W, 1%, 0805",R_1K,R2,R_1k,R_0805_OEM,1,https://www.seielect.com/Catalog/SEI-rncp.pdf,Value,RNCP0805FTD1K00CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND,
23,"Resistor, 200, 0.125W, 5%, 0805",R_200,R6 R10 R11 R12 R18 R19,R_200,R_0805_OEM,6,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Value,RMCF0805JT200RCT-ND,DK Digi-Key,https://www.digikey.com/products/en?keywords=RMCF0805JT200RCT-ND,
24,"Resistor, 51.1K, 0.125W, 1%, 0805",R_51.1K,R5,R_51.1k,R_0805_OEM,1,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,Value,311-51.1KCRCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=311-51.1KCRCT-ND,
25,Slider Switch,MHSS1105,S1,MHSS1105,MHSS1105,1,https://www.apem.com/us/index.php?controller=attachment&id_attachment=916,,679-1849-ND,APEM Inc.,,https://www.digikey.com/product-detail/en/apem-inc/MHSS1105/679-1849-ND/1949465
26,"High speed CAN transceiver, 1Mb/s",MCP2561-E_SN,U1,CAN_Transceiver,SOIC-8_3.9x4.9mm_Pitch1.27mm_OEM,1,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en561044,Value,MCP2561-E/SN-ND,Digi-Key,https://www.digikey.com/products/en?keywords=mcp2561-e%2Fsn,
27,"Buck converter, 4.5-17V input, adj 0.76-7V output, 1A, 580kHz",TPS561201,U2,TPS561201,SOT-23-6_OEM,1,http://www.ti.com/lit/ds/symlink/tps561201.pdf,Value,TPS561201,Digi-Key,https://www.digikey.com/products/en?keywords=296-46928-1-ND,
28,"Voltage level translator, 4-channel, bidirectional, TSSOP-14",TXB0104,U3,TXB0104,TSSOP-14_4.4x5mm_P0.65mm,1,http://www.ti.com/lit/ds/symlink/txb0104.pdf,,296-21929-1-ND,DK,https://www.digikey.com/product-detail/en/texas-instruments/TXB0104PWR/296-21929-1-ND/1629282,
29,CRYSTAL 16.0000MHZ 18PF SMD,Crystal_SMD,Y1,Crystal_SMD,Crystal_SMD_FA238,1,https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238V_en.pdf,Value,SER3686CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SER3686CT-ND,





Component Groups:,29
Component Count:,53
Fitted Components:,53
Number of PCBs:,1
Total components:,53
Schematic Version:,
Schematic Date:,
BoM Date:,Thu 31 Jan 2019 08:48:02 PM EST
Schematic Source:,/home/thomas/Documents/Formula/MKIV-Boards/Boards/Data_Logger/Data_Logger.sch
KiCad Version:,Eeschema 5.0.2-bee76a0~70~ubuntu18.04.1
