Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,Purchase_Link
11,"Connector header through hole 2x3 0.100"" (2.54mm)",CONN_02X03,J3,CONN_02X03,Pin_Header_Straight_2x03,1,http://portal.fciconnect.com/Comergent//fci/drawing/67996.pdf,Value,609-3234-ND,DK,https://www.digikey.com/product-detail/en/amphenol-fci/67997-206HLF/609-3234-ND/1878491,
12,Micro-MaTch connector 20 pin female vertical,MM_F_VT_20,J2,micromatch_female_TOP_ENTRY_locking_20,micromatch_female_vert_20,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F2-338068-0,Value,2-338068-0,TE,http://www.te.com/global-en/product-2-338068-0.html,
13,Micro-MaTch connector 4 pin female vertical,MM_F_VT_04,J1,micromatch_female_TOP_ENTRY_locking_4,micromatch_female_vert_4,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F338068-4,Value,338068-4,TE,http://www.te.com/global-en/product-338068-4.html,
14,"Inductor, 4.7uH, 4.4A, 25mOhm, 20%",L_4.7uH,L1,L_4.7uH,4.7uH_Inductor_OEM,1,https://product.tdk.com/info/en/documents/wdcatalog/withdrawn_inductor_commercial_power_vlp8040_en.pdf,Value,445-6583-1-ND,DK,https://www.digikey.com/product-detail/en/tdk-corporation/VLP8040T-4R7M/445-6583-1-ND/2465893,
15,"MOSFET, N-channel, 30V, 6A",SSM3K333R,Q1 Q2 Q3 Q4,SSM3K333R,SOT-23F,4,https://drive.google.com/drive/folders/0B-V-iZf33Y4GNzhDQTJZanJRbVk,SOT-23-3 Flat Leads,SSM3K333RLFCT-ND,DK,https://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/SSM3K333RLF/SSM3K333RLFCT-ND/3522391,https://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/SSM3K333RLF/SSM3K333RLFCT-ND/3522391
16,"Resistor, 0 ohm jumper, 0.1W, 0603",R_0,R9,R_0_Jumper,R_0603_1608Metric,1,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ3GEY0R00V+7+WW,Value,P0.0GCT-ND,DK,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-3GEY0R00V/P0.0GCT-ND/134711,
17,"Resistor, 100, 0.25W, 1%, 0805",R_100,R30,R_100,R_0805_OEM,1,https://www.seielect.com/Catalog/SEI-rncp.pdf,Value,RNCP0805FTD100RCT-ND,DK,https://www.digikey.com/products/en?keywords=RNCP0805FTD100RCT-ND,
18,"Resistor, 100K, 0.125W, 1%, 0805",R_100K,R18 R21 R24 R28,R_100K,R_0805_OEM,4,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,Value,P100KCCT-ND,DK,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1003V/P100KCCT-ND/119551,
19,"Resistor, 10K, 0.25W, 1%, 0805",R_10K,R22 R25 R29 R31,R_10k,R_0805_OEM,4,http://www.bourns.com/data/global/pdfs/CRS.pdf,Value,CRS0805-FX-1002ELFCT-ND,DK,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND,
20,"Resistor, 10K, 5W, 1%, Axial",R_10K_HV,R3 R4,R_10k,R_0805_OEM,2,http://www.vishay.com/docs/28731/pacserie.pdf,Value,PPC5D10.0KCT-ND,DK,https://www.digikey.com/products/en?keywords=PPC5D10.0KCT-ND,
